channel_name,channel_logos,channel_link,m3u8_link
Bein Sports 4 MAX 2,http://ebravo.pk/classic/uploads/webtv//05252ac8cd4808541e8d1c9971b4884f.jpg,http://ebravo.pk/classic/webtv-337.html,http://192.168.246.134:1935/live/beinmax2.stream/playlist.m3u8
Bein Sports 4 MAX 3,http://ebravo.pk/classic/uploads/webtv//55983bfcf37aa7b562f0abe03f8cdd7b.jpg,http://ebravo.pk/classic/webtv-338.html,http://203.101.163.5:1935/live/beinmax2.stream/playlist.m3u8
Bein Sports HD ,http://ebravo.pk/classic/uploads/webtv//2803c513f09410485c0a7e96f7311b0a.jpg,http://ebravo.pk/classic/webtv-271.html,http://58.65.194.14:1935/live/bein_sports.stream/playlist.m3u8
Bein Sports HD ,http://ebravo.pk/classic/uploads/webtv//e2a96a6a61d69fa3c1e905ff2da46907.jpg,http://ebravo.pk/classic/webtv-274.html,http://58.65.194.14:1935/live/ZooMooHD.stream/playlist.m3u8
Bein Sports HD 1,http://ebravo.pk/classic/uploads/webtv//b707bf7550dfe89e5ab2b83b7395e008.jpg,http://ebravo.pk/classic/webtv-257.html,http://58.65.194.14:1935/live/trace sports HD.stream/playlist.m3u8
Bein Sports HD 3,http://ebravo.pk/classic/uploads/webtv//39e30636d09d060c48f2eb6d6a108140.jpg,http://ebravo.pk/classic/webtv-290.html,http://58.65.194.14:1935/live/bein-sports-13.stream/playlist.m3u8
Bloomberg,http://ebravo.pk/classic/uploads/webtv//f91ce73de4c124dc1431b8a700a930e5.jpg,http://ebravo.pk/classic/webtv-320.html,http://58.65.194.14:1935/live/Bloomberg.stream/playlist.m3u8
Bol News HD,http://ebravo.pk/classic/uploads/webtv//52a139aaa1fb26438b907bb47a603c29.jpg,http://ebravo.pk/classic/webtv-159.html,http://58.65.194.14:1935/live/BOL-TV.stream/playlist.m3u8
Bravo Family,http://ebravo.pk/classic/uploads/webtv//816126bc790c96a956713baa229915ed.jpg,http://ebravo.pk/classic/webtv-104.html,http://58.65.194.14:1935/live/Bravo-Family.stream/playlist.m3u8
Bravo Islamic,http://ebravo.pk/classic/uploads/webtv//2159d3cb377d300908bcb8af219d13a6.jpg,http://ebravo.pk/classic/webtv-222.html,http://58.65.194.14:1935/live/Bravo1.stream/playlist.m3u8
Bravo Naya,http://ebravo.pk/classic/uploads/webtv//b3e23d7c30baa3ecd64a5caa6d752a2c.jpg,http://ebravo.pk/classic/webtv-221.html,http://58.65.194.14:1935/live/Bravo4.stream/playlist.m3u8
Bravo Now,http://ebravo.pk/classic/uploads/webtv//d577d94287bb0574b81ebd06be4dc531.jpg,http://ebravo.pk/classic/webtv-77.html,http://58.65.194.14:1935/live/Bravo-now.stream/playlist.m3u8
Bravo Sub Rung,http://ebravo.pk/classic/uploads/webtv//3456d479d89cc84b5e97d7c1fdb1ed2e.jpg,http://ebravo.pk/classic/webtv-146.html,http://58.65.194.14:1935/live/Bravo_sub_rung.stream/playlist.m3u8
CBS Europa ,http://ebravo.pk/classic/uploads/webtv//8b106d36900079026478e2442a6ca2a0.jpg,http://ebravo.pk/classic/webtv-288.html,http://58.65.194.14:1935/live/cbseuropa.stream/playlist.m3u8
CBS Reality,http://ebravo.pk/classic/uploads/webtv//9ff7851f06471e00b38aa47e9904da4f.jpg,http://ebravo.pk/classic/webtv-175.html,http://58.65.194.14:1935/live/Oxygene-TV.stream/playlist.m3u8
CGTN,http://ebravo.pk/classic/uploads/webtv//45dee7a8ccd9ec22cdca437df98c96fa.jpg,http://ebravo.pk/classic/webtv-321.html,http://58.65.194.14:1935/live/CGTN.stream/playlist.m3u8
CNBC HD,http://ebravo.pk/classic/uploads/webtv//bc954be9e7e370b1a0c3f1ded7973b3c.jpg,http://ebravo.pk/classic/webtv-295.html,http://58.65.194.14:1935/live/Planet Earth HD.stream/playlist.m3u8
CNN,http://ebravo.pk/classic/uploads/webtv//2115075b9324580b1c73e98876c63502.jpg,http://ebravo.pk/classic/webtv-65.html,http://58.65.194.14:1935/live/CNN.stream/playlist.m3u8
Capital News,http://ebravo.pk/classic/uploads/webtv//85b94c6e06f45afec3934315f7f2afe6.jpg,http://ebravo.pk/classic/webtv-265.html,http://58.65.194.14:1935/live/CapitalTV.stream/playlist.m3u8
Cartoon Network,http://ebravo.pk/classic/uploads/webtv//7a5094d7cba0c8bb3f26ee7ac35af3b1.jpg,http://ebravo.pk/classic/webtv-158.html,http://58.65.194.14:1935/live/Cartoon-network.stream/playlist.m3u8
Channel 24 HD News,http://ebravo.pk/classic/uploads/webtv//92dc8d7cc1af89aae166a195740942a9.jpg,http://ebravo.pk/classic/webtv-330.html,http://58.65.194.14:1935/live/Channel24.stream/playlist.m3u8
Channel News Asia,http://ebravo.pk/classic/uploads/webtv//61b96301e4c2f0871baf7f02bb36828f.jpg,http://ebravo.pk/classic/webtv-322.html,http://58.65.194.14:1935/live/ChannelNewsAsia.stream/playlist.m3u8
Comedy Central Family HD ,http://ebravo.pk/classic/uploads/webtv//41f389ea6047d46b2f6539ba3f39d465.jpg,http://ebravo.pk/classic/webtv-284.html,http://58.65.194.14:1935/live/Comedy-Central-Family-HD.stream/playlist.m3u8
Comedy Central HD ,http://ebravo.pk/classic/uploads/webtv//79ebbd42e0e9aab874120163fec6deeb.jpg,http://ebravo.pk/classic/webtv-285.html,http://58.65.194.14:1935/live/Comedy-Central-HD.stream/playlist.m3u8
DTX HD ,http://ebravo.pk/classic/uploads/webtv//d93aacf74b21dba0c0b756c78cf69cf1.jpg,http://ebravo.pk/classic/webtv-291.html,http://58.65.194.14:1935/live/DTXHD.stream/playlist.m3u8
DW News,http://ebravo.pk/classic/uploads/webtv//0ab7a1833dd0a9a7f483cf82e23a4336.jpg,http://ebravo.pk/classic/webtv-174.html,http://58.65.194.14:1935/live/DW-News.stream/playlist.m3u8
Dawn News,http://ebravo.pk/classic/uploads/webtv//1f6600e6c0c25896b46592c308d7ff1a.jpg,http://ebravo.pk/classic/webtv-161.html,http://58.65.194.14:1935/live/Dawn-News-480p.stream/playlist.m3u8
Discovery ID HD ,http://ebravo.pk/classic/uploads/webtv//cc621e80009782bd4e1e5f1dd6ecb33c.jpg,http://ebravo.pk/classic/webtv-313.html,http://58.65.194.14:1935/live/Discovery-ID-HD.stream/playlist.m3u8
Discovery Science HD ,http://ebravo.pk/classic/uploads/webtv//70358afa69ea9ba00f3be428bbb7ef58.jpg,http://ebravo.pk/classic/webtv-314.html,http://58.65.194.14:1935/live/Discovery-Science-HD.stream/playlist.m3u8
Disney Junior HD,http://ebravo.pk/classic/uploads/webtv//e2ebaf4761e20205b962bbfeb5419f3e.jpg,http://ebravo.pk/classic/webtv-275.html,http://58.65.194.14:1935/live/disney junior hd.stream/playlist.m3u8
Dubai One HD ,http://ebravo.pk/classic/uploads/webtv//d66a30fb81cddc0ac285ff7a232507a0.jpg,http://ebravo.pk/classic/webtv-280.html,http://58.65.194.14:1935/live/Firemovie.stream/playlist.m3u8
Dunya News,http://ebravo.pk/classic/uploads/webtv//a16c6b3f6e98b23a30aa4bc9f0e52a80.jpg,http://ebravo.pk/classic/webtv-236.html,http://58.65.194.14:1935/live/DunyaNews.stream/playlist.m3u8
Euro News ,http://ebravo.pk/classic/uploads/webtv//9b2c6120a964f63488eea74a02fb2b54.jpg,http://ebravo.pk/classic/webtv-190.html,http://58.65.194.14:1935/live/Euro-news.stream/playlist.m3u8
Euro Sports 1 HD,http://ebravo.pk/classic/uploads/webtv//729aa71ec754746f4dc55dda67be375a.jpg,http://ebravo.pk/classic/webtv-266.html,http://58.65.194.14:1935/live/Euro-sport-1-HD.stream/playlist.m3u8
Euro Sports 2 HD,http://ebravo.pk/classic/uploads/webtv//618b7da46f9e62a8037144267e0f2a59.jpg,http://ebravo.pk/classic/webtv-267.html,http://58.65.194.14:1935/live/Eurosport-2-HD.stream/playlist.m3u8
Express Entertainment,http://ebravo.pk/classic/uploads/webtv//35831678e9acb98267ad57f7fcab55b1.jpg,http://ebravo.pk/classic/webtv-74.html,http://58.65.194.14:1935/live/Express-entertainment.stream/playlist.m3u8
Express News,http://ebravo.pk/classic/uploads/webtv//f7874909e41fc3b1c681729d2ebeff7e.jpg,http://ebravo.pk/classic/webtv-73.html,http://58.65.194.14:1935/live/express.stream/playlist.m3u8
Extreme Sports HD,http://ebravo.pk/classic/uploads/webtv//032170bdc41dfd940492ccadb4730b02.jpg,http://ebravo.pk/classic/webtv-269.html,http://58.65.194.14:1935/live/Extreme Sports HD.stream/playlist.m3u8
Film World,http://ebravo.pk/classic/uploads/webtv//dd39e8800ab77d9603c014dff41c9497.jpg,http://ebravo.pk/classic/webtv-281.html,http://58.65.194.14:1935/live/Filmworld.stream/playlist.m3u8
